clave,espanol,nah,myn,tze
"during_locationNeededShort","Se necesita ubicación para reportar.","","",""
"during_reportSentShort","Reporte enviado","","",""
"during_detailsLabel","Detalles adicionales","","",""
"map_activateLocationToReport","Activa la ubicación para reportar.","","",""
"map_answerAllQuestions","Responde todas las preguntas.","","",""
"map_reportSendError","Error al enviar el reporte: {e}","","",""
"during_audioReady","Audio listo","","",""
"during_videoReady","Video listo","","",""
"during_savedGallery","Guardado en la galería","","",""
"during_audioSavedAt","Audio guardado en {path}","","",""
"during_saveError","Error al guardar: {e}","","",""
"during_shared","Compartido","","",""
"during_shareError","Error al compartir: {e}","","",""
"during_uploadError","Error al subir: {e}","","",""
"rec_fileTypeNotAllowed","Tipo de archivo no permitido: {mime}","","",""
"rec_fileTooLarge","El archivo excede el tamaño máximo de {mb} MB","","",""
"during_recordEvidence","Grabar evidencia","","",""
"during_sendToContactsBtn","Enviar a contactos","","",""
"during_sendToContactsBtnEmpty","Enviar a contactos (sin contactos)","","",""
"discard","Descartar","","",""
"after_noContacts","Agrega contactos de emergencia en la pestaña Inicio.","","",""
"after_sendAgain","Enviar de nuevo","","",""
"after_sosHistoryDesc","Accede a tus alertas pasadas con ubicación y grabaciones adjuntas.","","",""
"after_markResolved","Marcar como resuelta","","",""
"after_markFalseAlarm","Marcar como falsa alarma","","",""
"after_alertNumber","Alerta #{id}","","",""
"after_downloadError","Error al descargar: {e}","","",""
"after_noContactsSaved","No tienes contactos de emergencia guardados.","","",""
"after_noRecordingLinked","No hay grabación vinculada a esta alerta.","","",""
"after_notifiedCount","{n} contacto{s} notificado{s} por WhatsApp","","",""
"after_notifyArrivedBtn","Notificar que llegué bien","","",""
"after_recordingLabel","Grabación","","",""
"after_savedGalleryAlbum","Guardado en la galería (álbum SOSecure)","","",""
"after_galleryPermDenied","Permiso de galería denegado","","",""
"date_label","Fecha","","",""
"error_withDetail","Error: {e}","","",""
"none_label","Ninguno","","",""
"status_label","Estado","","",""
"medic_anxietyMsg","Estoy sintiendo mucha ansiedad y no puedo calmarme, ¿qué puedo hacer?","","",""
"medic_breathingMsg","¿Puedes guiarme en un ejercicio de respiración para calmarme?","","",""
"medic_talkMsg","Necesito hablar con alguien, me siento muy solo/a","","",""
"medic_techniquesMsg","¿Cuáles son técnicas rápidas para manejar el estrés?","","",""
"medic_welcome","Hola, soy tu acompañante de bienestar. Puedes contarme cómo te sientes o pedirme técnicas para manejar ansiedad, estrés o una crisis emocional. Si estás en peligro físico inmediato, usa el botón SOS de la app.","","",""
"medic_saptel","SAPTEL: 55 5259-8121","","",""
"medic_saptelHours","24 horas · gratis","","",""
"medic_writing","Escribiendo...","","",""
"map_pending","{n} pendientes","","",""
"map_allSeverities","Todas","","",""
"map_whenLabel","Cuándo","","",""
"map_anyTime","Cualquiera","","",""
"map_time24h","24 horas","","",""
"map_time7d","7 días","","",""
"map_time30d","30 días","","",""
"map_noIncidentsShort","Sin incidentes","","",""
"map_deleteIncidentTitle","¿Eliminar incidente?","","",""
"common_actionCannotUndo","Esta acción no se puede deshacer.","","",""
"map_reportDesc","Ayuda a mantener segura tu comunidad reportando incidentes en tu zona.","","",""
"map_filterType","Tipo","","",""
"map_filterTime","Tiempo","","",""
"map_detailsOptional","Detalles (opcional)","","",""
"map_editIncident","Editar Incidente","","",""
"map_incidentTitle","Título","","",""
"map_incidentDetails","Detalles","","",""
"routes_tip1","Elige rutas con mayor puntuación de seguridad cuando sea posible","","",""
"routes_tip2","Evita zonas con incidentes recientes de alta severidad","","",""
"routes_tip3","Las calles principales bien iluminadas son más seguras de noche","","",""
"routes_originLabel","Origen","","",""
"routes_destinationLabel","Destino","","",""
"routes_waitingLocation","Esperando ubicación...","","",""
"routes_change","Cambiar","","",""
"routes_myLocation","Mi ubicación","","",""
"routes_searching","Buscando...","","",""
"routes_frequentHint","Agrega lugares frecuentes en Inicio para acceso rápido aquí","","",""
"routes_limitReached","Límite de búsquedas alcanzado","","",""
"routes_limitDesc","El plan gratuito permite 1 búsqueda de ruta por día. Actualiza para búsquedas ilimitadas.","","",""
"routes_reset","Reiniciar","","",""
"routes_plan","Planear Ruta Segura","","",""
"routes_title","Rutas seguras","","",""
"routes_useCurrentLocation","Usar ubicación actual","","",""
"routes_originHint","¿Desde dónde sales?","","",""
"routes_safest","Ruta más segura","","",""
"routes_fastest","Ruta más rápida","","",""
"routes_incidents","{n} incidente{s} cerca de la ruta","","",""
"routes_noIncidents","Sin incidentes reportados en esta ruta","","",""
"chat_whatsapp","WhatsApp","","",""
"chat_noAccount","Este contacto no tiene cuenta en SOSecure","","",""
"chat_aiPlaceholder","Pregunta algo a SOSecure AI…","","",""
"chat_waiting","Esperando transmisión…","","",""
"chat_waitingDesc","El video aparecerá en cuanto la cámara comience a enviar.","","",""
"chat_open","Abrir chat","","",""
"chat_back","Volver","","",""
"chat_ai","SOSecure AI","","",""
"chat_noAccountLabel","Sin cuenta","","",""
"chat_sosLive","🔴 Transmisión en vivo","","",""
"chat_sosLiveDesc","Video de cámara en tiempo real — SOS activo","","",""
"chat_myLiveStream","Mi transmisión en vivo","","",""
"chat_myLiveStreamDesc","Vista previa de lo que ven tus contactos","","",""
"perm_gateTitle","SOSecure necesita permisos","","",""
"perm_gateSubtitle","Para protegerte correctamente necesitamos acceso a tu ubicación y notificaciones.","","",""
"perm_locationLabel","Ubicación","","",""
"perm_locationDesc","Para rastrearte y alertarte de zonas peligrosas","","",""
"perm_notificationsLabel","Notificaciones","","",""
"perm_notificationsDesc","Para alertas de seguridad y emergencias","","",""
"perm_askedLater","SE PEDIRÁN MÁS ADELANTE","","",""
"perm_cameraDesc","Cámara — se pedirá al activar grabación SOS","","",""
"perm_micDesc","Micrófono — se pedirá al activar grabación SOS","","",""
"perm_blockedMessage","Permisos bloqueados. Ve a Configuración del sistema para habilitarlos.","","",""
"perm_openSettings","Abrir configuración","","",""
"perm_grantBtn","Conceder permisos","","",""
"perm_continueWithout","Continuar sin todos los permisos","","",""
"chat_contactFallback","Contacto","","",""
"chat_noEmail","Sin correo registrado","","",""
"chat_viewStream","Ver transmisión","","",""
"chat_noAccountShort","Este contacto no tiene cuenta","","",""
"chat_aiSubtitle","Consejos y apoyo inmediato","","",""
"chat_myRecordings","Mis grabaciones SOS","","",""
"chat_recordingsDesc","Grabaciones automáticas de emergencia","","",""
"chat_tips","Consejos de seguridad y emergencias","","",""
"chat_writeFor","Escribe para chatear con {name} dentro de SOSecure","","",""
"chat_noAccountMsg","{name} no tiene cuenta en SOSecure. Puedes compartir tu ubicación vía WhatsApp.","","",""
"chat_sosMessage","🚨 ALERTA SOS — Estoy en peligro.","","",""
"chat_sosNoLocation","🚨 ALERTA SOS — Estoy en peligro. No tengo ubicación disponible.","","",""
"family_inviteEmail","correo@ejemplo.com","","",""
"family_inviteError","No se pudo invitar","","",""
"perm_later","Se pedirán cuando los necesites","","",""
"perm_required","Requerido","","",""
"map_youAreHere","Estás aquí","","",""
"sos_audioOnly","Solo audio activo","","",""
"routes_startPoint","Punto de inicio","","",""
"auth_emailPlaceholder","tu@ejemplo.com","to@ejemplo.com","",""
"auth_signUpBtn","Registrarme","","",""
"auth_unexpectedError","Error inesperado: {error}","","",""
"auth_noAccountSignUp","¿No tienes cuenta? Regístrate","","",""
"auth_confirmationLinkSent","Te enviamos un enlace de confirmación. Ábrelo para activar tu cuenta.","","",""
"pay_signInDescPremium","Necesitas tu cuenta de SOSecure para activar el plan premium.","","",""
"pay_signInDescFamiliar","Necesitas tu cuenta de SOSecure para contratar el plan familiar.","","",""
"pay_demoLink","Usar formulario de demostración","","",""
"pay_demoFlag","Modo demostración — no se realiza ningún cargo real","","",""
"pay_cardName","Nombre en la tarjeta","","",""
"pay_cardNamePlaceholder","Como aparece en la tarjeta","","",""
"pay_cardNumber","Número de tarjeta","","",""
"pay_cardExpiry","Vencimiento","","",""
"pay_cardCvc","CVC","","",""
"pay_completeCard","Completa los datos de la tarjeta","","",""
"pay_errorLoad","No se pudo cargar el plan","","",""
"pay_errorStart","No se pudo iniciar el pago","","",""
"pay_errorProcess","No se pudo procesar el pago","","",""
"pay_validUntil","Tu plan es válido hasta el {date}.","","",""
"plan_premiumBadge1","★ Asistente","","",""
"plan_premiumBadge2","◐ Modo discreto","","",""
"plan_premiumBadge3","👥 10 contactos","","",""
"plan_familiarPerson1","persona más","","",""
"plan_familiarPersonN","personas más","","",""
"home_emailPlaceholder","correo@ejemplo.com","","",""
"home_placeSchool","Escuela","Notelpochcalli","In nu'kul",""
"home_placeGym","Gimnasio","Tichicahualoni","Ts'o'ok kool",""
"home_noAlertsZone","Zona sin alertas cercanas","","",""
"home_noLocationYet","Sin ubicación disponible todavía.","","",""
"home_noPlacesYet","Sin lugares guardados todavía.","","",""
"home_type","Tipo","","",""
"home_addressGeocoded","Dirección geocodificada correctamente","","",""
"home_noAddressUseCurrent","Sin dirección seleccionada se usará tu ubicación actual: {coords}","","",""
"home_noLocationWaitGps","Sin ubicación disponible — espera a que se obtenga el GPS.","","",""
"home_contactsLoadError","Error al cargar contactos: {err}","","",""
"home_noContactsAdded","Sin contactos agregados todavía.","","",""
"home_emailOptional","Correo (opcional)","","",""
"home_priorityLabel","Prioridad","","",""
"during_cameraError","Cámara: {msg}","Nexnextiloni: {msg}","",""
"during_micError","Micrófono: {msg}","Tlahtoa: {msg}","",""
"during_shareSystem","sistema","","",""
"chat_useWhatsapp","usa WhatsApp","","",""
"chat_locationShared","📍 Compartió su ubicación","","",""
"chat_mediaShared","🎥 Envió una grabación","","",""
"medic_premiumGateTitle","Chat de Apoyo Psicológico","","",""
"medic_premiumGateDesc","El acompañante de bienestar con IA está disponible solo en planes Premium y Familiar.","","",""
"medic_crisisTitle","Si estás en crisis, no estás solo/a","","",""
"chat_aiPremiumGateDesc","SOSecure AI está disponible solo en planes Premium y Familiar.","","",""
"during_recordingReady","Grabación lista — ¿qué quieres hacer?","","",""
"before_voiceListening","Escuchando: ""{keyword}""","","",""
"before_voiceActivating","Activando micrófono...","","",""
"before_voiceIdle","Di la palabra clave para activar el SOS con las manos libres.","","",""
"routes_originCurrentLocation","Origen: ubicación actual","","",""
"routes_dailyLimitReached","Alcanzaste el límite de 1 búsqueda de ruta al día en el plan gratuito. Actualiza a Premium para búsquedas ilimitadas.","","",""
"routes_alternate","Ruta alternativa","","",""
"routes_routeN","Ruta {n}","","",""
"location_permissionDenied","Acceso a ubicación denegado. Actívalo en Ajustes.","","",""
"location_gpsDisabled","El GPS está desactivado.","","",""
"location_fetchFailed","No se pudo obtener la ubicación.","","",""
"location_genericError","Error de ubicación: {e}","","",""
"recorder_cameraPermissionDenied","Permiso de cámara denegado.","","",""
"recorder_micPermissionDenied","Permiso de micrófono denegado.","","",""
"recorder_noCameraAvailable","No hay cámara disponible.","","",""
"recorder_startError","No se pudo iniciar la grabación: {e}","","",""
"recorder_stopError","Error al detener la grabación: {e}","","",""
"medic_tip5432","**Técnica 5-4-3-2-1 para ansiedad:**\nNombra en voz alta:\n• 5 cosas que puedes VER\n• 4 cosas que puedes TOCAR\n• 3 cosas que puedes OÍR\n• 2 cosas que puedes OLER\n• 1 cosa que puedes SABOREAR\n\nEsto ancla tu mente al presente. 💙","","",""
"medic_tipBoxBreathing","**Respiración cuadrada (Box Breathing):**\n1. Inhala contando 4 segundos\n2. Retén el aire 4 segundos\n3. Exhala contando 4 segundos\n4. Pausa 4 segundos\n\nRepite 4-6 veces. Usado por fuerzas de élite para calmarse. 🌬️","","",""
"medic_tipCrisisLines","**Si estás en crisis emocional:**\n\n🆘 Líneas de apoyo México:\n• SAPTEL: 55 5259-8121 (24h)\n• CONASAMA: 800 290-0024\n• Cruz Roja: 065\n\nNo estás solo/a. Hay personas que quieren ayudarte. 💙","","",""
"medic_tipAntiStress","**Técnicas rápidas anti-estrés:**\n• Mueve los hombros en círculos\n• Agua fría en muñecas\n• Cuenta hacia atrás desde 10\n• Haz una lista de 3 cosas por las que estás agradecido/a\n• Estira el cuello suavemente","","",""
"medic_offlineHelp","💙 Sin conexión. Si necesitas ayuda:\n• **SAPTEL:** 55 5259-8121","","",""
"chat_newMessage","Nuevo mensaje","","",""
"chat_sosAlertShort","🚨 Alerta SOS","","",""
"chat_aiConnectionError","Sin conexión al asistente. Verifica tu internet.","","",""
"settings_chatFontSize","Tamaño de letra en Apoyo","","",""
"service_sosActiveTitle","SOSecure — Alerta activa","","",""
"service_sosActiveBody","Grabando y compartiendo tu ubicación en segundo plano.","","",""
"notif_channelSosName","Alertas SOS","","",""
"notif_channelSosDesc","Notificaciones de alerta SOS activada","","",""
"notif_channelChatName","Mensajes","","",""
"notif_channelChatDesc","Mensajes nuevos del chat de contactos de emergencia","","",""
"during_sosActiveAlert","SOS activo — Alerta #{ref}","","",""
"during_sosActiveCreating","SOS activo — creando alerta…","","",""
"during_recordingTitle","🚨 Grabación SOSecure","","",""
"chat_myLocation","📍 Mi ubicación: {url}","","",""
"chat_noLocationNow","⚠️ No tengo ubicación disponible ahora.","","",""
"routes_searchFailed","No se pudo buscar: {e}","","",""
"routes_calcFailed","No se pudieron calcular las rutas: {e}","","",""
"chat_assistantError","Error al contactar el asistente ({code})","","",""
"recorder_stopFailed","Error al detener: {e}","","",""
"live_broadcastFailed","Error al transmitir: {e}","","",""
"lang_es","Español","","",""
"lang_en","English","","",""
"lang_nah","Nāhuatl","","",""
"lang_myn","Maaya T'aan","","",""
"lang_tze","Bats'il K'op","","",""
"during_emergencyModeSubtitle","Modo emergencia — reporta y graba evidencia","","",""
"chat_sosAlertWithLocation","🚨 ALERTA SOS — Estoy en peligro.\n📍 {mapUrl}\n🎥 Ver en vivo: {liveUrl}","","",""
"after_arrivedMessage","✅ Llegué bien a mi destino — {time}\n\nMensaje enviado automáticamente desde la app SOSecure.","","",""
